post_id,post_date,time,account,series,ref,media,channels,images,caption,caption_fb,caption_li
car-en-w01a,2026-09-01,11:00,ramonhouses,Carousel EN,w01a,carousel,"ig,fb,li",car-en/w01a/01.jpg|car-en/w01a/02.png|car-en/w01a/03.png|car-en/w01a/04.png|car-en/w01a/05.png|car-en/w01a/06.png|car-en/w01a/07.png|car-en/w01a/08.png,"Accepted is not sold

1. Financing
2. The appraisal
3. Strata documents
4. Inspection
5. Title
6. Subject removal

Swipe through all 8.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#FraserValleyRealEstate #LangleyRealEstate #BCRealEstate #RealEstateTips #ramonhouses","Accepted is not sold

1. Financing
2. The appraisal
3. Strata documents
4. Inspection
5. Title
6. Subject removal

Swipe through all 8.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#FraserValleyRealEstate #LangleyRealEstate #BCRealEstate","Accepted is not sold

1. Financing
2. The appraisal
3. Strata documents
4. Inspection
5. Title
6. Subject removal

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#FraserValleyRealEstate #LangleyRealEstate"
r2-day-003,2026-09-02,01:00,growthwealth,Round 2,Day 003,image,"ig,fb,li",r2/r2-day-003.jpg,"🔥 DAY 03
The Traveler's Gift
— Andy Andrews

The buck stops here, and it always did.

📖 Blame is comfortable. It is also the end of progress.

Own the decision that got you here before you plan the next one.

Circumstances explain a lot. They decide nothing.

Responsibility is the only lever you actually hold.

**Nothing changes until someone stops waiting to be rescued.**

🔥

#Day03 #Responsibility #Ownership #Discipline #Leadership #Mindset #Accountability","🔥 DAY 03
The Traveler's Gift
— Andy Andrews

The buck stops here, and it always did.

📖 Blame is comfortable. It is also the end of progress.

Own the decision that got you here before you plan the next one.

Circumstances explain a lot. They decide nothing.

Responsibility is the only lever you actually hold.

**Nothing changes until someone stops waiting to be rescued.**

🔥

Call or text 778-863-0019.

#Day03 #Responsibility #Ownership","DAY 03
The Traveler's Gift
— Andy Andrews

The buck stops here, and it always did.

 Blame is comfortable. It is also the end of progress.

Own the decision that got you here before you plan the next one.

Circumstances explain a lot. They decide nothing.

Responsibility is the only lever you actually hold.

— *Nothing changes until someone stops waiting to be rescued.**

Call or text 778-863-0019."
car-es-w01a,2026-09-02,11:00,ramonhouses,Carousel ES,w01a,carousel,"ig,fb,li",car-es/w01a/01.jpg|car-es/w01a/02.png|car-es/w01a/03.png|car-es/w01a/04.png|car-es/w01a/05.png|car-es/w01a/06.png|car-es/w01a/07.png|car-es/w01a/08.png,"Aceptada no es vendida

1. El financiamiento
2. El avalúo
3. Los documentos del strata
4. La inspección
5. El título
6. El levantamiento de condiciones

Desliza para ver los 8.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #FraserValley #Langley #InmobiliariaBC #AgenteEnEspanol #ramonhouses","Aceptada no es vendida

1. El financiamiento
2. El avalúo
3. Los documentos del strata
4. La inspección
5. El título
6. El levantamiento de condiciones

Desliza para ver los 8.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley #Langley","Aceptada no es vendida

1. El financiamiento
2. El avalúo
3. Los documentos del strata
4. La inspección
5. El título
6. El levantamiento de condiciones

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
r2b-day-003,2026-09-02,14:00,growthwealth,Round 2b,Day 003,image,"ig,fb,li",r2b/r2b-day-003.jpg,"🔥 DAY 03
The Compound Effect
— Darren Hardy

Consistency beats intensity over any period that matters.

📖 The occasional heroic effort loses to the daily ordinary one.

Show up on the day it clearly does not count.

Small and repeated outperforms big and rare.

Nothing looks like progress until suddenly it is.

🔥

#Day03 #Consistency #Discipline #Habits #Patience #Growth #Compounding","🔥 DAY 03
The Compound Effect
— Darren Hardy

Consistency beats intensity over any period that matters.

📖 The occasional heroic effort loses to the daily ordinary one.

Show up on the day it clearly does not count.

Small and repeated outperforms big and rare.

Nothing looks like progress until suddenly it is.

🔥

Call or text 778-863-0019.

#Day03 #Consistency #Discipline","DAY 03
The Compound Effect
— Darren Hardy

Consistency beats intensity over any period that matters.

 The occasional heroic effort loses to the daily ordinary one.

Show up on the day it clearly does not count.

Small and repeated outperforms big and rare.

Nothing looks like progress until suddenly it is.

Call or text 778-863-0019."
r2-day-004,2026-09-03,01:00,growthwealth,Round 2,Day 004,image,"ig,fb,li",r2/r2-day-004.jpg,"🔥 DAY 04
Never Split the Difference
— Chris Voss

The person asking the questions controls the conversation.

📖 Listen for what they will not say out loud.

Slow the pace and the leverage moves to you.

No is not the end. It is the start of honesty.

Never fill a silence just because it is uncomfortable.

**You do not win a negotiation. You understand your way through it.**

🔥

#Day04 #Negotiation #Communication #Influence #Leadership #Listening #Sales","🔥 DAY 04
Never Split the Difference
— Chris Voss

The person asking the questions controls the conversation.

📖 Listen for what they will not say out loud.

Slow the pace and the leverage moves to you.

No is not the end. It is the start of honesty.

Never fill a silence just because it is uncomfortable.

**You do not win a negotiation. You understand your way through it.**

🔥

Call or text 778-863-0019.

#Day04 #Negotiation #Communication","DAY 04
Never Split the Difference
— Chris Voss

The person asking the questions controls the conversation.

 Listen for what they will not say out loud.

Slow the pace and the leverage moves to you.

No is not the end. It is the start of honesty.

Never fill a silence just because it is uncomfortable.

— *You do not win a negotiation. You understand your way through it.**

Call or text 778-863-0019."
r2b-day-004,2026-09-03,14:00,growthwealth,Round 2b,Day 004,image,"ig,fb,li",r2b/r2b-day-004.jpg,"🔥 DAY 04
Essentialism
— Greg McKeown

Doing less is not laziness. It is the disciplined pursuit of what matters.

📖 Most of what fills your day contributes nothing.

Choose the vital few and let the rest go.

Busy is what happens when you refuse to choose.

Fewer commitments, done properly, is the whole method.

🔥

#Day04 #Focus #Priorities #Simplicity #Discipline #Clarity #Productivity","🔥 DAY 04
Essentialism
— Greg McKeown

Doing less is not laziness. It is the disciplined pursuit of what matters.

📖 Most of what fills your day contributes nothing.

Choose the vital few and let the rest go.

Busy is what happens when you refuse to choose.

Fewer commitments, done properly, is the whole method.

🔥

Call or text 778-863-0019.

#Day04 #Focus #Priorities","DAY 04
Essentialism
— Greg McKeown

Doing less is not laziness. It is the disciplined pursuit of what matters.

 Most of what fills your day contributes nothing.

Choose the vital few and let the rest go.

Busy is what happens when you refuse to choose.

Fewer commitments, done properly, is the whole method.

Call or text 778-863-0019."
r2-day-005,2026-09-04,01:00,growthwealth,Round 2,Day 005,image,"ig,fb,li",r2/r2-day-005.jpg,"🔥 DAY 05
The Crux
— Richard P. Rumelt

Strategy is not ambition. It is naming the hardest solvable problem.

📖 A list of goals is not a plan.

Find the one obstacle that unlocks the rest.

Effort spread evenly is effort wasted.

Diagnose before you decide.

**Most strategies fail because nobody named the real problem.**

🔥

#Day05 #Strategy #Focus #Leadership #Execution #DecisionMaking #Clarity","🔥 DAY 05
The Crux
— Richard P. Rumelt

Strategy is not ambition. It is naming the hardest solvable problem.

📖 A list of goals is not a plan.

Find the one obstacle that unlocks the rest.

Effort spread evenly is effort wasted.

Diagnose before you decide.

**Most strategies fail because nobody named the real problem.**

🔥

Call or text 778-863-0019.

#Day05 #Strategy #Focus","DAY 05
The Crux
— Richard P. Rumelt

Strategy is not ambition. It is naming the hardest solvable problem.

 A list of goals is not a plan.

Find the one obstacle that unlocks the rest.

Effort spread evenly is effort wasted.

Diagnose before you decide.

— *Most strategies fail because nobody named the real problem.**

Call or text 778-863-0019."
r2b-day-005,2026-09-04,14:00,growthwealth,Round 2b,Day 005,image,"ig,fb,li",r2b/r2b-day-005.jpg,"🔥 DAY 05
Extreme Ownership
— Jocko Willink & Leif Babin

The standard you walk past becomes the standard you accept.

📖 Own the outcome before you explain it.

Blame ends the possibility of improvement.

If the team failed, look at the leadership first.

Say that is on me, then fix the process.

🔥

#Day05 #Ownership #Leadership #Accountability #Discipline #Standards #Teams","🔥 DAY 05
Extreme Ownership
— Jocko Willink & Leif Babin

The standard you walk past becomes the standard you accept.

📖 Own the outcome before you explain it.

Blame ends the possibility of improvement.

If the team failed, look at the leadership first.

Say that is on me, then fix the process.

🔥

Call or text 778-863-0019.

#Day05 #Ownership #Leadership","DAY 05
Extreme Ownership
— Jocko Willink & Leif Babin

The standard you walk past becomes the standard you accept.

 Own the outcome before you explain it.

Blame ends the possibility of improvement.

If the team failed, look at the leadership first.

Say that is on me, then fix the process.

Call or text 778-863-0019."
r2-day-006,2026-09-05,01:00,growthwealth,Round 2,Day 006,image,"ig,fb,li",r2/r2-day-006.jpg,"🔥 DAY 06
Black Box Thinking
— Matthew Syed

The mistake is only expensive if nobody examines it.

📖 Record what went wrong while it still stings.

Defending the decision costs more than admitting it.

Small corrections early beat big ones late.

Progress is failure, examined.

**Every industry that got safer did it by studying what it got wrong.**

🔥

#Day06 #Resilience #Learning #Growth #Leadership #Improvement #Mindset","🔥 DAY 06
Black Box Thinking
— Matthew Syed

The mistake is only expensive if nobody examines it.

📖 Record what went wrong while it still stings.

Defending the decision costs more than admitting it.

Small corrections early beat big ones late.

Progress is failure, examined.

**Every industry that got safer did it by studying what it got wrong.**

🔥

Call or text 778-863-0019.

#Day06 #Resilience #Learning","DAY 06
Black Box Thinking
— Matthew Syed

The mistake is only expensive if nobody examines it.

 Record what went wrong while it still stings.

Defending the decision costs more than admitting it.

Small corrections early beat big ones late.

Progress is failure, examined.

— *Every industry that got safer did it by studying what it got wrong.**

Call or text 778-863-0019."
re-en-day-01,2026-09-05,10:00,ramonhouses,RE Single EN,Day 01,image,"ig,fb,li",re-en/re-en-day-01.jpg,"Pre-approved is not the same as approved.

The lender still has to approve the property, not just you.

Subject removal is the real deadline.

Everything before it is reversible. After it, not.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#vancouverrealestate #langleybc #fraservalley #homebuying #realestatetips #exprealty","Pre-approved is not the same as approved.

The lender still has to approve the property, not just you.

Subject removal is the real deadline.

Everything before it is reversible. After it, not.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#vancouverrealestate #langleybc #fraservalley","Pre-approved is not the same as approved.

The lender still has to approve the property, not just you.

Subject removal is the real deadline.

Everything before it is reversible. After it, not.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#vancouverrealestate #langleybc"
