post_id,post_date,time,account,series,ref,media,channels,images,caption,caption_fb,caption_li
oh-2026-09-13-th01-fraser-en,2026-09-13,08:00,ramonhouses,Open House,1-20723 Fraser Hwy R3139875,image,"ig,threads",oh/20260913-open-house-th01-fraser-en.jpg,"OPEN HOUSE · Sunday, September 13 · 12:00 PM – 2:00 PM

1 - 20723 Fraser Highway, Langley
3 bedrooms · 2.5 bathrooms · townhome

• Corner end unit in a quiet corner of Rossbrin
• Over 1,500 sq ft
• Primary suite with walk-in closet and ensuite
• Side-by-side double garage
• Short walk to the future SkyTrain station

Come walk through it — no appointment needed. Questions before you visit? Send me a message.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse #LangleyTownhomes #FraserValleyRealEstate #ramonhouses","Open house this Sunday, September 13 — 12:00 PM – 2:00 PM

1 - 20723 Fraser Highway, Langley
3 bedrooms · 2.5 bathrooms · townhome

• Corner end unit in a quiet corner of Rossbrin
• Over 1,500 sq ft
• Primary suite with walk-in closet and ensuite
• Side-by-side double garage
• Short walk to the future SkyTrain station

Drop by, no appointment needed. If the time doesn't work, call or text 778-863-0019 and I'll arrange a private showing.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse","Open house: Sunday, September 13, 12:00 PM – 2:00 PM.

1 - 20723 Fraser Highway, Langley — 3 bedrooms · 2.5 bathrooms · townhome.

— Corner end unit in a quiet corner of Rossbrin
— Over 1,500 sq ft
— Primary suite with walk-in closet and ensuite
— Side-by-side double garage
— Short walk to the future SkyTrain station

If you are relocating, buying for family, or know someone looking in Langley, I am happy to walk them through it. Call or text 778-863-0019.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyRealEstate #FraserValley"
oh-2026-09-13-th46-gabriola-en,2026-09-13,08:00,ramonhouses,Open House,46-20498 82 Ave R3143635,image,"ig,threads",oh/20260913-open-house-th46-gabriola-en.jpg,"OPEN HOUSE · Sunday, September 13 · 1:00 PM – 3:00 PM

46 - 20498 82 Avenue, Langley (Willoughby Heights)
4 bedrooms · 2.5 bathrooms · townhome

• Close to schools, parks, shopping, dining and transit

Come walk through it — no appointment needed. Questions before you visit? Send me a message.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #WilloughbyHeights #LangleyRealEstate #OpenHouse #LangleyTownhomes #FraserValleyRealEstate #ramonhouses","Open house this Sunday, September 13 — 1:00 PM – 3:00 PM

46 - 20498 82 Avenue, Langley (Willoughby Heights)
4 bedrooms · 2.5 bathrooms · townhome

• Close to schools, parks, shopping, dining and transit

Drop by, no appointment needed. If the time doesn't work, call or text 778-863-0019 and I'll arrange a private showing.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse","Open house: Sunday, September 13, 1:00 PM – 3:00 PM.

46 - 20498 82 Avenue, Langley (Willoughby Heights) — 4 bedrooms · 2.5 bathrooms · townhome.

— Close to schools, parks, shopping, dining and transit

If you are relocating, buying for family, or know someone looking in Langley, I am happy to walk them through it. Call or text 778-863-0019.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyRealEstate #FraserValley"
oh-2026-09-13-th01-fraser-reel-en,2026-09-13,08:00,ramonhouses,Open House Reel,1-20723 Fraser Hwy R3139875,reel,"ig,threads",reels/oh-20260913-th01-fraser-en.mp4,"OPEN HOUSE · Sunday, September 13 · 12:00 PM – 2:00 PM

1 - 20723 Fraser Highway, Langley
3 bedrooms · 2.5 bathrooms · townhome

• Corner end unit in a quiet corner of Rossbrin
• Over 1,500 sq ft
• Primary suite with walk-in closet and ensuite
• Side-by-side double garage
• Short walk to the future SkyTrain station

Come walk through it — no appointment needed. Questions before you visit? Send me a message.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse #LangleyTownhomes #FraserValleyRealEstate #ramonhouses","Open house this Sunday, September 13 — 12:00 PM – 2:00 PM

1 - 20723 Fraser Highway, Langley
3 bedrooms · 2.5 bathrooms · townhome

• Corner end unit in a quiet corner of Rossbrin
• Over 1,500 sq ft
• Primary suite with walk-in closet and ensuite
• Side-by-side double garage
• Short walk to the future SkyTrain station

Drop by, no appointment needed. If the time doesn't work, call or text 778-863-0019 and I'll arrange a private showing.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse","Open house: Sunday, September 13, 12:00 PM – 2:00 PM.

1 - 20723 Fraser Highway, Langley — 3 bedrooms · 2.5 bathrooms · townhome.

— Corner end unit in a quiet corner of Rossbrin
— Over 1,500 sq ft
— Primary suite with walk-in closet and ensuite
— Side-by-side double garage
— Short walk to the future SkyTrain station

If you are relocating, buying for family, or know someone looking in Langley, I am happy to walk them through it. Call or text 778-863-0019.

MLS® R3139875
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyRealEstate #FraserValley"
oh-2026-09-13-th46-gabriola-reel-en,2026-09-13,08:00,ramonhouses,Open House Reel,46-20498 82 Ave R3143635,reel,"ig,threads",reels/oh-20260913-th46-gabriola-en.mp4,"OPEN HOUSE · Sunday, September 13 · 1:00 PM – 3:00 PM

46 - 20498 82 Avenue, Langley (Willoughby Heights)
4 bedrooms · 2.5 bathrooms · townhome

• Close to schools, parks, shopping, dining and transit

Come walk through it — no appointment needed. Questions before you visit? Send me a message.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #WilloughbyHeights #LangleyRealEstate #OpenHouse #LangleyTownhomes #FraserValleyRealEstate #ramonhouses","Open house this Sunday, September 13 — 1:00 PM – 3:00 PM

46 - 20498 82 Avenue, Langley (Willoughby Heights)
4 bedrooms · 2.5 bathrooms · townhome

• Close to schools, parks, shopping, dining and transit

Drop by, no appointment needed. If the time doesn't work, call or text 778-863-0019 and I'll arrange a private showing.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyOpenHouse #LangleyRealEstate #OpenHouse","Open house: Sunday, September 13, 1:00 PM – 3:00 PM.

46 - 20498 82 Avenue, Langley (Willoughby Heights) — 4 bedrooms · 2.5 bathrooms · townhome.

— Close to schools, parks, shopping, dining and transit

If you are relocating, buying for family, or know someone looking in Langley, I am happy to walk them through it. Call or text 778-863-0019.

MLS® R3143635
Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#LangleyRealEstate #FraserValley"
rq-01-en,2026-09-13,08:00,ramonhouses,RE Quote EN,Card 01,image,"ig,threads",rq/rq-01-en.jpg,"Know your numbers before you fall in love with the kitchen.

Buying with a clear head

• Set your ceiling before the first showing.
• Count strata fees, taxes and insurance, not just the payment.
• Choose the home you can keep, not the one you stretch for.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#HomeBuying #FirstTimeHomeBuyer #FraserValleyRealEstate #LangleyRealEstate #RealEstateTips #ramonhouses","Know your numbers before you fall in love with the kitchen.

Buying with a clear head

• Set your ceiling before the first showing.
• Count strata fees, taxes and insurance, not just the payment.
• Choose the home you can keep, not the one you stretch for.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #FirstTimeHomeBuyer #FraserValleyRealEstate","Know your numbers before you fall in love with the kitchen.

Buying with a clear head

— Set your ceiling before the first showing.
— Count strata fees, taxes and insurance, not just the payment.
— Choose the home you can keep, not the one you stretch for.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #FraserValleyRealEstate"
rq-01-es,2026-09-13,08:00,ramonhouses,RE Quote ES,Card 01,image,"ig,threads",rq/rq-01-es.jpg,"Conoce tus números antes de enamorarte de la cocina.

Comprar con la cabeza fría

• Define tu límite antes de la primera visita.
• Suma cuotas de strata, impuestos y seguro, no solo el pago.
• Elige la casa que puedes mantener, no la que te estira.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #ComprarCasa #FraserValley #Langley #AgenteEnEspanol #ramonhouses","Conoce tus números antes de enamorarte de la cocina.

Comprar con la cabeza fría

• Define tu límite antes de la primera visita.
• Suma cuotas de strata, impuestos y seguro, no solo el pago.
• Elige la casa que puedes mantener, no la que te estira.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #ComprarCasa #FraserValley","Conoce tus números antes de enamorarte de la cocina.

Comprar con la cabeza fría

— Define tu límite antes de la primera visita.
— Suma cuotas de strata, impuestos y seguro, no solo el pago.
— Elige la casa que puedes mantener, no la que te estira.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
bs-05-p1-es,2026-09-15,09:00,ramonhouses,Blog Series ES,Blog 05 Part 1,image,"ig,fb,li,threads",bs/bs-05-p1-es.jpg,"Visita el vecindario tres veces antes de comprar la casa — Parte 1 de 3

Una visita es la única ocasión en que la calle está preparada.
La casa la puedes inspeccionar. La calle la tienes que observar, y no puedes observarla en una sola visita.

Visita 1 de 3: entre semana por la mañana
• Ve entre las siete y las nueve en un día laboral.
• Maneja tu traslado desde esta dirección, a la hora en que saldrías.
• Mira el estacionamiento y el tráfico de la escuela.

La parte 2 viene pronto. El artículo completo está en mi sitio: enlace en la bio → ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #ComprarCasa #FraserValley #Langley #AgenteEnEspanol #ramonhouses","Visita el vecindario tres veces antes de comprar la casa — Parte 1 de 3

Una visita es la única ocasión en que la calle está preparada.
La casa la puedes inspeccionar. La calle la tienes que observar, y no puedes observarla en una sola visita.

Visita 1 de 3: entre semana por la mañana
• Ve entre las siete y las nueve en un día laboral.
• Maneja tu traslado desde esta dirección, a la hora en que saldrías.
• Mira el estacionamiento y el tráfico de la escuela.

La parte 2 viene pronto. El artículo completo está en mi sitio: https://ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #ComprarCasa #FraserValley","Visita el vecindario tres veces antes de comprar la casa — Parte 1 de 3

Una visita es la única ocasión en que la calle está preparada.
La casa la puedes inspeccionar. La calle la tienes que observar, y no puedes observarla en una sola visita.

Visita 1 de 3: entre semana por la mañana
— Ve entre las siete y las nueve en un día laboral.
— Maneja tu traslado desde esta dirección, a la hora en que saldrías.
— Mira el estacionamiento y el tráfico de la escuela.

La parte 2 viene pronto. El artículo completo está en mi sitio: enlace en la bio ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
bs-05-p1-en,2026-09-15,14:00,ramonhouses,Blog Series EN,Blog 05 Part 1,image,"ig,fb,li,threads",bs/bs-05-p1-en.jpg,"Visit the neighbourhood three times before you buy the house — Part 1 of 3

A showing is the one time the street is staged.
The house you can inspect. The street you have to observe, and you cannot observe it in one visit.

Visit 1 of 3: a weekday morning
• Go between seven and nine on a working day.
• Drive your commute from this exact address, at the time you would leave.
• Check the parking and the school drop-off traffic.

Part 2 coming next. The full article is on my site: link in bio → ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#HomeBuying #NeighbourhoodFit #FraserValleyRealEstate #LangleyRealEstate #RealEstateTips #ramonhouses","Visit the neighbourhood three times before you buy the house — Part 1 of 3

A showing is the one time the street is staged.
The house you can inspect. The street you have to observe, and you cannot observe it in one visit.

Visit 1 of 3: a weekday morning
• Go between seven and nine on a working day.
• Drive your commute from this exact address, at the time you would leave.
• Check the parking and the school drop-off traffic.

Part 2 coming next. The full article is on my site: https://ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #NeighbourhoodFit #FraserValleyRealEstate","Visit the neighbourhood three times before you buy the house — Part 1 of 3

A showing is the one time the street is staged.
The house you can inspect. The street you have to observe, and you cannot observe it in one visit.

Visit 1 of 3: a weekday morning
— Go between seven and nine on a working day.
— Drive your commute from this exact address, at the time you would leave.
— Check the parking and the school drop-off traffic.

Part 2 coming next. The full article is on my site: link in bio ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #FraserValleyRealEstate"
bs-05-p2-es,2026-09-17,09:00,ramonhouses,Blog Series ES,Blog 05 Part 2,image,"ig,fb,li,threads",bs/bs-05-p2-es.jpg,"Visita el vecindario tres veces antes de comprar la casa — Parte 2 de 3

La visita de noche es la que la mayoría de los compradores se salta.

Visita 2 de 3: entre semana por la noche
• Párate frente a la casa cinco minutos con el coche apagado.
• ¿La calle está iluminada? Camina del coche a la puerta.
• Mira qué tan cerca están las ventanas de los vecinos.

La parte 3 viene pronto. El artículo completo está en mi sitio: enlace en la bio → ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #ComprarCasa #FraserValley #Langley #AgenteEnEspanol #ramonhouses","Visita el vecindario tres veces antes de comprar la casa — Parte 2 de 3

La visita de noche es la que la mayoría de los compradores se salta.

Visita 2 de 3: entre semana por la noche
• Párate frente a la casa cinco minutos con el coche apagado.
• ¿La calle está iluminada? Camina del coche a la puerta.
• Mira qué tan cerca están las ventanas de los vecinos.

La parte 3 viene pronto. El artículo completo está en mi sitio: https://ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #ComprarCasa #FraserValley","Visita el vecindario tres veces antes de comprar la casa — Parte 2 de 3

La visita de noche es la que la mayoría de los compradores se salta.

Visita 2 de 3: entre semana por la noche
— Párate frente a la casa cinco minutos con el coche apagado.
— ¿La calle está iluminada? Camina del coche a la puerta.
— Mira qué tan cerca están las ventanas de los vecinos.

La parte 3 viene pronto. El artículo completo está en mi sitio: enlace en la bio ramonhouses.com/es/insights/visit-neighbourhood-three-times

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
bs-05-p2-en,2026-09-17,14:00,ramonhouses,Blog Series EN,Blog 05 Part 2,image,"ig,fb,li,threads",bs/bs-05-p2-en.jpg,"Visit the neighbourhood three times before you buy the house — Part 2 of 3

The evening visit is the one most buyers skip.

Visit 2 of 3: a weekday evening
• Stand in front of the house for five minutes with the car off.
• Is the street lit? Walk from the car to the door.
• See how close the neighbours' windows really are.

Part 3 coming next. The full article is on my site: link in bio → ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#HomeBuying #NeighbourhoodFit #FraserValleyRealEstate #LangleyRealEstate #RealEstateTips #ramonhouses","Visit the neighbourhood three times before you buy the house — Part 2 of 3

The evening visit is the one most buyers skip.

Visit 2 of 3: a weekday evening
• Stand in front of the house for five minutes with the car off.
• Is the street lit? Walk from the car to the door.
• See how close the neighbours' windows really are.

Part 3 coming next. The full article is on my site: https://ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #NeighbourhoodFit #FraserValleyRealEstate","Visit the neighbourhood three times before you buy the house — Part 2 of 3

The evening visit is the one most buyers skip.

Visit 2 of 3: a weekday evening
— Stand in front of the house for five minutes with the car off.
— Is the street lit? Walk from the car to the door.
— See how close the neighbours' windows really are.

Part 3 coming next. The full article is on my site: link in bio ramonhouses.com/insights/visit-neighbourhood-three-times

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#HomeBuying #FraserValleyRealEstate"
